CO_MODALIDADE,NT_GER,QE_I08,NO_REGIAO_IES
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,12.0,A,Sul
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,23.9,A,Sudeste
1,24.1,A,Centro-Oeste
1,24.1,A,Centro-Oeste
1,24.1,A,Centro-Oeste
1,24.1,A,Centro-Oeste
1,24.1,A,Centro-Oeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.1,A,Nordeste
1,24.2,A,Centro-Oeste
1,24.2,A,Centro-Oeste
1,24.2,A,Centro-Oeste
1,24.2,A,Centro-Oeste
1,24.2,A,Centro-Oeste
1,24.2,A,Centro-Oeste
